City,Location,Layer,synonyms
Agra ,Agra Airport (Pandit Deen Dayal Upadhyay Airport),Transport,"AA(DDUA, agra ayrport (Pandyt Daan Dayal opadhyay ayrport), AgraAirport(PanditDeenDayalUpadhyayAirport)"
Agra ,Agra Fort Railway Station,Transport,"agra Fort Raylway Statyon, AgraFortRailwayStation, AFRS"
Agra ,Agra Cantt Railway Station,Transport,"ACRS, AgraCanttRailwayStation, agra Cantt Raylway Statyon"
Agra ,Idgah Bus Stand,Transport,"IdgahBusStand, IBS, ydgah Bos Stand"
Agra ,Isbt Government Bus stand,Transport,"ysbt Govarnmant Bos stand, IGBs, IsbtGovernmentBusstand"
Agra ,Taj Mahal,Iconic structures & centers,"TM, TajMahal"
Agra ,Agra Fort,Iconic structures & centers,"AF, AgraFort"
Agra ,Fatehpur Sikri Fort,Iconic structures & centers,"FatehpurSikriFort, FSF, Fatahpor Sykry Fort"
Agra ,Itmad-ud-Daula,Iconic structures & centers,ytmad-od-Daola
Agra ,Tomb of Akbar,Iconic structures & centers,"ToA, TombofAkbar"
Agra ,Kalakriti culture and convention centre,Iconic structures & centers,"Kcacc, Kalakryty coltora and convantyon cantra, Kalakriticultureandconventioncentre"
Agra ,Chini Ka Rauza,Iconic structures & centers,"CKR, ChiniKaRauza, Chyny Ka Raoza"
Agra ,Tomb of Mariam-UZ-Zamani,Iconic structures & centers,"Tomb of Maryam-oZ-Zamany, ToM, TombofMariam-UZ-Zamani"
Agra ,Mehtab Bagh,Nature,"Mahtab Bagh, MB, MehtabBagh"
Agra ,Aram Bagh,Nature,"AB, AramBagh"
Agra ,Paliwal Park,Nature,"PaliwalPark, Palywal Park, PP"
Agra ,Elephant Conservation and Care Center,Nature,"ElephantConservationandCareCenter, ECaCC, alaphant Consarvatyon and Cara Cantar"
Agra ,Keetham Lake (Sur Sarovar),Nature,"KeethamLake(SurSarovar), Kaatham Laka (Sor Sarovar), KL(S"
Agra ,Taj Nature Walk,Nature,"TajNatureWalk, Taj Natora Walk, TNW"
Agra ,"Shri Mankameshwar Temple, Agra",Spiritual sites,"ShriMankameshwarTemple,Agra, Shry Mankamashwar Tampla, agra, SMTA"
Agra ,Jama Masjid Agra,Spiritual sites,"JamaMasjidAgra, Jama Masjyd agra, JMA"
Agra ,Gurudwara Guru Ka Taal,Spiritual sites,"GGKT, Gorodwara Goro Ka Taal, GurudwaraGuruKaTaal"
Agra ,Samadh Soamiji Maharaj - Soami Bagh,Spiritual sites,"SSM-SB, SamadhSoamijiMaharaj-SoamiBagh, Samadh Soamyjy Maharaj - Soamy Bagh"
Amritsar,"Airport, Sri Guru Ram Dass Jee International",Transport,"Airport,SriGuruRamDassJeeInternational, ayrport, Sry Goro Ram Dass Jaa yntarnatyonal, ASGRDJI"
Amritsar,Amritsar Junction,Transport,"AmritsarJunction, AJ, amrytsar Jonctyon"
Amritsar,Amritsar Bus Stand,Transport,"amrytsar Bos Stand, ABS, AmritsarBusStand"
Amritsar,Golden Temple (Sri Harmandir Sahib),Spiritual sites,"GT(HS, GoldenTemple(SriHarmandirSahib), Goldan Tampla (Sry Harmandyr Sahyb)"
Amritsar,Shri Durgiana Temple,Spiritual sites,"Shry Dorgyana Tampla, ShriDurgianaTemple, SDT"
Amritsar,Bhagwan Valmiki Ram Tirath Asthan,Spiritual sites,"BhagwanValmikiRamTirathAsthan, Bhagwan Valmyky Ram Tyrath asthan, BVRTA"
Amritsar,Mata Lal Devi Mandir,Spiritual sites,"Mata Lal Davy Mandyr, MLDM, MataLalDeviMandir"
Amritsar,Gurudwara Chheharta Sahib,Spiritual sites,"GurudwaraChhehartaSahib, GCS, Gorodwara Chhaharta Sahyb"
Amritsar,Gurudwara Bir Baba Budha Sahib Ji,Spiritual sites,"GurudwaraBirBabaBudhaSahibJi, Gorodwara Byr Baba Bodha Sahyb Jy, GBBBSJ"
Amritsar,Attari - Wagah Border,Iconic structures,"A-WB, attary - Wagah Bordar, Attari-WagahBorder"
Amritsar,Jallianwala Bagh,Iconic structures,"JB, Jallyanwala Bagh, JallianwalaBagh"
Amritsar,Gobindgarh Fort,Iconic structures,"Gobyndgarh Fort, GobindgarhFort, GF"
Amritsar,Pul Kanjri,Iconic structures,"Pol Kanjry, PK, PulKanjri"
Amritsar,Sadda Pind living museum,Art and museum,"Sadda Pynd lyvyng mosaom, SPlm, SaddaPindlivingmuseum"
Amritsar,Maharaja Ranjit Singh Museum in Ram Bagh,Art and museum,"MaharajaRanjitSinghMuseuminRamBagh, MRSMiRB, Maharaja Ranjyt Syngh Mosaom yn Ram Bagh"
Amritsar,The Partition Museum,Art and museum,"TPM, Tha Partytyon Mosaom, ThePartitionMuseum"
Amritsar,Harike Wetland and Bird Sanctuary,Nature,"Haryka Watland and Byrd Sanctoary, HarikeWetlandandBirdSanctuary, HWaBS"
Amritsar,Rose Garden,Nature,"RG, Rosa Gardan, RoseGarden"
Ayodhya,"Airport, Maharishi Valmiki International Ayodhya Dham",Transport,"ayrport, Maharyshy Valmyky yntarnatyonal ayodhya Dham, Airport,MaharishiValmikiInternationalAyodhyaDham, AMVIAD"
Ayodhya,Ayodhya Junction,Transport,"AyodhyaJunction, AJ, ayodhya Jonctyon"
Ayodhya,Ayodhya Dham Bus Station,Transport,"ayodhya Dham Bos Statyon, AyodhyaDhamBusStation, ADBS"
Ayodhya,Ayodhya By Pass,Transport,"ABP, AyodhyaByPass"
Ayodhya,Faizabad Bus Stand,Transport,"FaizabadBusStand, Fayzabad Bos Stand, FBS"
Ayodhya,AYODHYA CANTT,Transport,"AYODHYACANTT, AC"
Ayodhya,Shree Ram Janmabhoomi Mandir,Main Temples,"SRJM, ShreeRamJanmabhoomiMandir, Shraa Ram Janmabhoomy Mandyr"
Ayodhya,Shri Hanuman Garhi Mandir,Main Temples,"SHGM, ShriHanumanGarhiMandir, Shry Hanoman Garhy Mandyr"
Ayodhya,Dashrath Mahal,Main Temples,"DM, DashrathMahal"
Ayodhya,Kanak Bhawan,Main Temples,"KB, KanakBhawan"
Ayodhya,Ram Ki Paidi,Main Temples,"Ram Ky Paydy, RKP, RamKiPaidi"
Ayodhya,Ram Katha Sangrahalay,Art and museum,"RKS, RamKathaSangrahalay"
Ayodhya,Tulasi Smarak Bhavan,Art and museum,"Tolasy Smarak Bhavan, TulasiSmarakBhavan, TSB"
Ayodhya,Shri Lakshman Kila,Other temples,"SLK, Shry Lakshman Kyla, ShriLakshmanKila"
